,id,title,Action,Adventure,Animation,Childrens,Comedy,Crime,Documentary,Drama,Fantasy,Film-noir,Horror,Musical,Mystery,Romance,Sci-Fi,Thriller,War,Western,OMDb_Year,OMDb_Runtime,OMDb_Plot,OMDb_imdbVotes,OMDb_Poster,IMDB_Score
10,11,Seven ,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1954,207,"Farmers from a village exploited by bandits hire a veteran samurai for protection, and he gathers six other samurai to join him.",376321,https://m.media-amazon.com/images/M/MV5BZjliMWExOTMtZDQ3ZS00NWU3LWIyN2EtMjllNzk3ZTNlYzg4XkEyXkFqcGc@._V1_SX300.jpg,8.6
11,12,The Usual Suspects,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1995,106,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,1174072,https://m.media-amazon.com/images/M/MV5BOTE5MDUxZDUtZWZmZC00NDVmLWFhOGQtNWI2YTc4NzY3MGQ0XkEyXkFqcGc@._V1_SX300.jpg,8.5
12,13,Mighty Aphrodite ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,95,"When he discovers his adopted son is a genius, a New York sportswriter seeks out the boy's birth mother: a ditzy porn star and prostitute.",43436,https://m.media-amazon.com/images/M/MV5BNGY4MWQ2Y2QtMzliZC00NTc3LWJmMGYtMzUxYWI0YTFhYTY4XkEyXkFqcGc@._V1_SX300.jpg,7.0
14,15,Mr. Holland's Opus ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,144,A frustrated composer finds fulfillment as a high school music teacher.,42279,https://m.media-amazon.com/images/M/MV5BZGJkOTFkYjEtNzg5Zi00NWIyLTkyN2QtMDExNjk1NTg1NTQ1XkEyXkFqcGc@._V1_SX300.jpg,7.3
15,16,French Twist ,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,104,"After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.",5422,https://m.media-amazon.com/images/M/MV5BMTY2ZDdlY2YtYzdkNi00MzcxLTgxYjMtMmQ1ZjMyNTBmYTU0XkEyXkFqcGc@._V1_SX300.jpg,6.4
16,17,From Dusk Till Dawn ,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,1996,108,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.",349230,https://m.media-amazon.com/images/M/MV5BZGNjMWMwNWEtYTQ2YS00N2E5LTg5ZWYtMDgzM2UxMTE1ZTE4XkEyXkFqcGc@._V1_SX300.jpg,7.2
17,18,The White Balloon,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,85,Several people try to help a little girl to find the money her mom gave her to buy a goldfish with.,8414,https://m.media-amazon.com/images/M/MV5BM2E0OGRkOGQtMzhiOC00NDUxLThjMzYtNTM4ZTNhYWU1NmQ1XkEyXkFqcGc@._V1_SX300.jpg,7.6
18,19,Antonia's Line ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,102,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.",9604,https://m.media-amazon.com/images/M/MV5BYzAxYmM1YzQtNDhmOS00N2UxLTljNTctOGE0ZDI3NWIxMTYwXkEyXkFqcGc@._V1_SX300.jpg,7.4
19,20,Angels and Insects ,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,116,In the 1800s a naturalist marries into a family of British country gentry.,4879,https://m.media-amazon.com/images/M/MV5BZTc1MzY1ODAtMDhlMS00NjgyLTlkNTEtZTUwYTM4MzFkNWNmXkEyXkFqcGdeQXVyNDE5MTU2MDE@._V1_SX300.jpg,6.8
20,21,Muppet Treasure Island ,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1996,99,"The Muppets set sail in search of treasure, with Jim Hawkins and Long John Silver.",27267,https://m.media-amazon.com/images/M/MV5BZmE3MmM4NTYtM2JhYS00ZjIwLWExOTItOTI3YjI4ZDQ2NjBhXkEyXkFqcGc@._V1_SX300.jpg,6.9
21,22,Braveheart ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1995,178,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,1116147,https://m.media-amazon.com/images/M/MV5BNGMxZDBhNGQtYTZlNi00N2UzLWI4NDEtNmUzNWM2NTdmZDA0XkEyXkFqcGc@._V1_SX300.jpg,8.3
22,23,Taxi Driver ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1976,114,"A mentally unstable veteran works as a nighttime taxi driver in New York City, where the perceived decadence and sleaze fuels his urge for violent action.",959151,https://m.media-amazon.com/images/M/MV5BZDNhMGYwM2UtMTdlZS00MGQ1LWI2YzAtODY5YWI1MjYyNzRmXkEyXkFqcGc@._V1_SX300.jpg,8.2
23,24,Rumble in the Bronx ,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,87,A young man visiting and helping his uncle in New York City finds himself forced to fight a street gang and the mob with his martial art skills.,46918,https://m.media-amazon.com/images/M/MV5BNWUxMDcyZTMtYzJjMi00Y2Q1LWE3NWMtNTRiNGQxZTljYjE2XkEyXkFqcGc@._V1_SX300.jpg,6.8
24,25,The Birdcage,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1996,117,"A gay cabaret owner and his drag queen companion agree to put up a false straight front so that their son can introduce them to his fiancée's right-wing, conservative parents.",104883,https://m.media-amazon.com/images/M/MV5BMTM2NjExODYyOF5BMl5BanBnXkFtZTcwNTc0NjgyNA@@._V1_SX300.jpg,7.2
25,26,The Brothers McMullen,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,98,"Three Irish Catholic brothers from Long Island struggle to deal with love, marriage, and infidelity.",8313,https://m.media-amazon.com/images/M/MV5BZDQ3MmE1NWItMGIzNi00NWZjLTgzZDMtYmY5YjdhNDQ0NjcxXkEyXkFqcGc@._V1_SX300.jpg,6.6
26,27,Bad Boys ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,119,Two hip detectives protect a witness to a murder while investigating a case of stolen heroin from the evidence storage room from their police precinct.,299905,https://m.media-amazon.com/images/M/MV5BMWNjZWEwNDMtMWE1ZC00MTgwLTk2YzAtYmE0NTkwOWVhMDI0XkEyXkFqcGc@._V1_SX300.jpg,6.8
27,28,Apollo 13 ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1995,140,NASA must devise a strategy to return Apollo 13 to Earth safely after the spacecraft undergoes massive internal damage putting the lives of the three astronauts on board in jeopardy.,322568,https://m.media-amazon.com/images/M/MV5BMGZmNGY1OTAtNjFkYS00MjcyLWFlZjUtYzEyMDllZGZhMzM3XkEyXkFqcGc@._V1_SX300.jpg,7.7
28,29,Batman Forever ,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1995,121,"Batman must battle former district attorney Harvey Dent, who is now Two-Face and Edward Nygma, The Riddler with help from an amorous psychologist and a young circus acrobat who becomes his sidekick, Robin.",271738,https://m.media-amazon.com/images/M/MV5BMTUyNjJhZWItMTZkNS00NDc4LTllNjUtYTg3NjczMzA5ZTViXkEyXkFqcGc@._V1_SX300.jpg,5.4
29,30,Belle de jour ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1967,100,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,50570,https://m.media-amazon.com/images/M/MV5BMDhiYmZmNjEtZjE1NC00YmIxLTgyMDEtODVkYTkyNzZkNzk0XkEyXkFqcGc@._V1_SX300.jpg,7.6
30,31,Crimson Tide ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1995,116,"On a U.S. nuclear missile sub, a young First Officer stages a mutiny to prevent his trigger-happy Captain from launching his missiles before confirming his orders to do so.",126868,https://m.media-amazon.com/images/M/MV5BNTNhZDk2NmQtNDc3ZC00Nzk3LWFmNTctYTc0OWMyNGM0ZWYyXkEyXkFqcGc@._V1_SX300.jpg,7.4
31,32,Crumb ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994,119,An intimate portrait of controversial cartoonist Robert Crumb and his traumatized family.,21987,https://m.media-amazon.com/images/M/MV5BZDQ2NjNkZTktNTg4MC00ZTBkLTlkMDItYzIyODA4M2MzMzdjXkEyXkFqcGc@._V1_SX300.jpg,8.0
32,33,Desperado ,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1995,104,Former musician and gunslinger El Mariachi arrives at a small Mexican border town after being away for a long time. His past quickly catches up with him and he soon gets entangled with the local drug kingpin Bucho and his gang.,201509,https://m.media-amazon.com/images/M/MV5BN2IzOThmNTMtODE4My00NTI1LThkOWMtNTA4MTc4NWI1NTNlXkEyXkFqcGc@._V1_SX300.jpg,7.1
33,34,The Doom Generation,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,83,"Jordan White and Amy Blue, two troubled teens, pick up an adolescent drifter, Xavier Red. Together, the threesome embark on a sex-and-violence-filled journey through an America of psychos and quickie marts.",18530,https://m.media-amazon.com/images/M/MV5BYjQ2MmE3NzctZjYzZS00ZGVjLWEyODUtYjM3MTAwYTQ2YmU4XkEyXkFqcGc@._V1_SX300.jpg,6.1
34,35,Free Willy 2: The Adventure Home ,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1995,95,Teenager Jesse becomes reunited with Willy two years after the whale's jump to freedom as the teenager tries to rescue the killer whale and other orcas from an oil spill.,19881,https://m.media-amazon.com/images/M/MV5BMmVjZjMxMmUtYWQ4Mi00YzAzLThkMmQtZjNmMGQyNDVkNzk2XkEyXkFqcGc@._V1_SX300.jpg,5.1
35,36,Mad Love ,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1995,93,The wild and sexy story of two passionate young people who take to the road for the incredible adventure of their lives.,7111,https://m.media-amazon.com/images/M/MV5BZjVlZGY3ZTItYjZkMS00N2U4LTk1ZWMtNTFjYTdiYmFmZWRmXkEyXkFqcGc@._V1_SX300.jpg,5.3
36,37,Nadja ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,93,"This ultra-hip, post-modern vampire tale is set in contemporary New York City. Members of a dysfunctional family of vampires are trying to come to terms with each other, in the wake of their father's death. Meanwhile, they are bei...",3556,https://m.media-amazon.com/images/M/MV5BOWI2OWNjYzMtZTgxMC00ZWZhLTlhODAtMzE0ODY5Njc0MTAwXkEyXkFqcGc@._V1_SX300.jpg,6.0
37,38,The Net,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1995,114,"When Angela Bennett, a computer programmer, stumbles upon government secrets, she finds herself on the run from an unknown enemy hell-bent on destroying her completely.",75554,https://m.media-amazon.com/images/M/MV5BMDNhMjgxODUtMWRjOS00N2JlLWEyYWEtOWJhNWQ1MTdmYTllXkEyXkFqcGc@._V1_SX300.jpg,6.0
38,39,Strange Days ,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1995,145,A former cop turned street-hustler accidentally uncovers a conspiracy in Los Angeles in 1999.,80098,https://m.media-amazon.com/images/M/MV5BNzk1NGY4ZGUtYzllYy00ODM0LTljNmItYTY5NGI4YWQxNTQxXkEyXkFqcGc@._V1_SX300.jpg,7.2
39,40,"To Wong Foo, Thanks for Everything! Julie Newmar ",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,109,"Three drag queens travel cross-country until their car breaks down, leaving them stranded in a small town.",38049,https://m.media-amazon.com/images/M/MV5BZWZjMmVhNzAtYTBmMi00YTUyLTkzMmItZGVhY2RiMmNhN2ZkXkEyXkFqcGc@._V1_SX300.jpg,6.8
40,41,Billy Madison ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1995,89,"In order to inherit his fed-up father Brian's hotel empire, immature and lazy Billy Madison must repeat grades one through twelve all over again. The further Billy progresses, the harder his hated rival Eric Gordon tries to stop him.",160024,https://m.media-amazon.com/images/M/MV5BY2Y2ODczY2YtZTQ4NS00NWQxLTlhZWMtZWY4M2IyMmJhZGI1XkEyXkFqcGc@._V1_SX300.jpg,6.4
41,42,Clerks ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,92,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",235427,https://m.media-amazon.com/images/M/MV5BYzcwZTU5NzMtMGIxYi00NjRhLThkYTItNjhlYWQ0MjdhYWFmXkEyXkFqcGc@._V1_SX300.jpg,7.7
42,43,Disclosure ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1994,128,"A computer specialist is sued for sexual harassment by a former lover turned boss who initiated the act forcefully, which threatens both his career and his personal life.",55446,https://m.media-amazon.com/images/M/MV5BYmRlNTA4NGQtOTFlYy00NDk5LWEzOWYtNjMyMjI3NDdlNjRmXkEyXkFqcGc@._V1_SX300.jpg,6.2
43,44,Dolores Claiborne ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1995,132,A big city reporter travels to a small town where her mother has been arrested for the murder of an elderly woman for whom she worked as a housekeeper.,49637,https://m.media-amazon.com/images/M/MV5BYzYxMGVlMTktNWMyNS00YmQwLThmMzAtYmI0NGJkMGI4YzlkXkEyXkFqcGc@._V1_SX300.jpg,7.4
44,45,Eat Drink Man Woman ,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,124,A senior chef lives with his three grown daughters; the middle one finds her future plans affected by unexpected events and the life changes of the other household members.,23706,https://m.media-amazon.com/images/M/MV5BYmZjMDNiOTgtYjBjMi00OWU0LThkYTAtNjgyOTliNTgzN2M3XkEyXkFqcGc@._V1_SX300.jpg,7.8
45,46,Exotica ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,103,"A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away.",21471,https://m.media-amazon.com/images/M/MV5BNmIwZWQxMWUtMDllZi00ZmY5LTkwY2ItNjRkNThhNWZiZjgzXkEyXkFqcGc@._V1_SX300.jpg,7.0
46,47,Ed Wood ,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,127,Ambitious but troubled movie director Edward D. Wood Jr. tries his best to fulfill his dreams despite his lack of talent.,186506,https://m.media-amazon.com/images/M/MV5BOWU4NzlkZGEtODNmYi00YTVhLWJhYjAtZjBkN2Q1Y2U5NjE4XkEyXkFqcGc@._V1_SX300.jpg,7.8
47,48,Hoop Dreams ,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1994,170,A film following the lives of two inner-city Chicago boys who struggle to become college basketball players on the road to going professional.,28547,https://m.media-amazon.com/images/M/MV5BOGQ0NDdmZjUtYWY5OC00MDQzLThjNTgtZjc5ZTVmNGNhMmI2XkEyXkFqcGc@._V1_SX300.jpg,8.3
48,49,I.Q. ,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1994,100,"A mechanic romances the mathematician niece of physicist Albert Einstein, with help from him and his friends.",26913,https://m.media-amazon.com/images/M/MV5BMDkyZmFiNmQtNWY1YS00N2MxLWJkMDItNWI5ODIxNWY1M2FiXkEyXkFqcGc@._V1_SX300.jpg,6.2
49,50,Star Wars ,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,1977,121,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth ...",1479635,https://m.media-amazon.com/images/M/MV5BOGUwMDk0Y2MtNjBlNi00NmRiLTk2MWYtMGMyMDlhYmI4ZDBjXkEyXkFqcGc@._V1_SX300.jpg,8.6
50,51,Legends of the Fall ,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1994,133,"In the early 1900s, three brothers and their father living in the remote wilderness of Montana are affected by betrayal, history, love, nature, and war.",188136,https://m.media-amazon.com/images/M/MV5BMzFlMjE3NjYtYjIwMC00YTVhLWJlOWMtZjM1NDdmMTk1OGRlXkEyXkFqcGc@._V1_SX300.jpg,7.5
51,52,The Madness of King George,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,110,"When King George III goes mad, his Lieutenants try to adjust the rules to run the country without his participation.",18801,https://m.media-amazon.com/images/M/MV5BOWYyMDcyZDUtMzQ0ZC00ZDllLWI1MTMtZjM0M2I5N2JhNDgzXkEyXkFqcGc@._V1_SX300.jpg,7.2
52,53,Natural Born Killers ,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1994,119,Two victims of traumatized childhoods become lovers and psychopathic serial murderers irresponsibly glorified by the mass media.,257046,https://m.media-amazon.com/images/M/MV5BNTlmYjkxNzYtYWMwMC00NTNhLWExZjEtNmUwMzlmYWJhOGFjXkEyXkFqcGc@._V1_SX300.jpg,7.2
53,54,Outbreak ,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1995,127,A team of Army doctors struggle to find a cure for the deadly Motaba virus that was transported from Africa to North America by a white-headed Capuchin monkey and is now spreading quickly throughout a small California town.,140548,https://m.media-amazon.com/images/M/MV5BNGYxY2Q0YzUtMmE3OS00ZmQ5LWFiOGUtZDZmNTJlM2YyZjJmXkEyXkFqcGc@._V1_SX300.jpg,6.6
54,55,The Professional,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1981,108,"Victim of a plot which has resulted in his imprisonment in a Central African jail for two years, a French secret agent arrives in Paris to settle accounts.",17868,https://m.media-amazon.com/images/M/MV5BOWRmZTk3MWEtMDNkNS00NjFmLTgxMGYtZGE1MjdlNTNiNjNmXkEyXkFqcGc@._V1_SX300.jpg,7.4
55,56,Pulp Fiction ,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1994,154,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.",2289917,https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_SX300.jpg,8.9
56,57,Priest ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2011,87,A warrior priest disobeys church law to track down a pack of vampires who have kidnapped his niece.,125779,https://m.media-amazon.com/images/M/MV5BMTQ1MTAwODc3OV5BMl5BanBnXkFtZTcwNzI0MDQ3NA@@._V1_SX300.jpg,5.7
57,58,Quiz Show ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,133,"A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.",74423,https://m.media-amazon.com/images/M/MV5BYzYyMjAzN2YtYTJiNC00MDhhLWE0MmUtZTE0ZmUxODU3MzkyXkEyXkFqcGc@._V1_SX300.jpg,7.5
58,59,Three Colors: Red ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,99,A model discovers a retired judge is keen on invading people's privacy.,112341,https://m.media-amazon.com/images/M/MV5BMTQ0YTQyYzItNGEzMi00NmI4LWJkOTMtOWMyMjAwMWEzYTZhXkEyXkFqcGc@._V1_SX300.jpg,8.1
59,60,Three Colors: Blue ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,98,A woman struggles to find a way to live her life after the death of her husband and child.,113421,https://m.media-amazon.com/images/M/MV5BNWMxNWE2NGYtMzYwOS00NmJhLTgwNjAtNGM3ODIwNjU5MTZiXkEyXkFqcGc@._V1_SX300.jpg,7.8
60,61,Three Colors: White ,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,92,"After his wife divorces him, a Polish immigrant plots to get even with her.",81371,https://m.media-amazon.com/images/M/MV5BMWUyMWJiYTEtNmIzYi00OTYxLTlkYjEtMGFjMjY3NDc5Mjk0XkEyXkFqcGc@._V1_SX300.jpg,7.6
61,62,Stargate ,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1994,116,"An interstellar teleportation device, found in Egypt, leads to a planet with humans resembling ancient Egyptians who worship the god Ra.",210011,https://m.media-amazon.com/images/M/MV5BNGRmZmNhMTctZTBiMy00ZmJhLWE3MmMtMDNmZWRkZjczMGVkXkEyXkFqcGc@._V1_SX300.jpg,7.0
62,63,The Santa Clause,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,97,"When a man inadvertently makes Santa fall off his roof on Christmas Eve, he finds himself magically recruited to take his place.",138172,https://m.media-amazon.com/images/M/MV5BNTYwZWUxNmUtNzdmMS00MDBiLWFhN2EtNjBmYjM1ZWFiNDUzXkEyXkFqcGc@._V1_SX300.jpg,6.6
63,64,The Shawshank Redemption,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1994,142,"A banker convicted of uxoricide forms a friendship over a quarter century with a hardened convict, while maintaining his innocence and trying to remain hopeful through simple compassion.",2970162,https://m.media-amazon.com/images/M/MV5BMDAyY2FhYjctNDc5OS00MDNlLThiMGUtY2UxYWVkNGY2ZjljXkEyXkFqcGc@._V1_SX300.jpg,9.3
64,65,What's Eating Gilbert Grape ,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1993,118,A young man in a small Midwestern town struggles to care for his mentally-disabled younger brother and morbidly obese mother while attempting to pursue his own happiness.,258399,https://m.media-amazon.com/images/M/MV5BNWM5NWI1OTQtMTJiOS00ZDMxLWE1ODQtZjQ4MDc4OGE4ZjQyXkEyXkFqcGc@._V1_SX300.jpg,7.7
65,66,While You Were Sleeping ,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1995,103,A hopelessly romantic Chicago Transit Authority ticket booth operator is mistaken for the fiancée of a comatose patient.,117933,https://m.media-amazon.com/images/M/MV5BZTJmOWIzY2YtYmE2ZC00NDRiLWIzYmMtNTkyNmNlMTA0N2NkXkEyXkFqcGc@._V1_SX300.jpg,6.8
66,67,Ace Ventura: Pet Detective ,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1994,86,A goofy detective specializing in animals goes in search of the missing mascot of the Miami Dolphins.,334039,https://m.media-amazon.com/images/M/MV5BOWU1M2Q5MDgtOTkxZS00NjdmLWFlNWEtOGEyOTNlNGYyYTZlXkEyXkFqcGc@._V1_SX300.jpg,6.9
67,68,The Crow,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1994,102,"The night before his wedding, musician Eric Draven and his fiancée are brutally murdered by members of a violent gang. On the anniversary of their death, Eric rises from the grave and assumes the mantle of the Crow, a supernatural...",217409,https://m.media-amazon.com/images/M/MV5BOTBiNzhkZTItZWUwZS00YTJkLTg0YTEtN2I0ZDI5ODI2MWFjXkEyXkFqcGc@._V1_SX300.jpg,7.5
68,69,Forrest Gump ,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1994,142,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.",2329122,https://m.media-amazon.com/images/M/MV5BNDYwNzVjMTItZmU5YS00YjQ5LTljYjgtMjY2NDVmYWMyNWFmXkEyXkFqcGc@._V1_SX300.jpg,8.8
